Unnamed: 0,job title,company,salary,description,rank
199,Registered Behavior Technician (RBT),Kids First Services,$18.00-27.00 per hour,"Are you looking for the opportunity to be a part of something truly extraordinary? As a Behavior Technician or RBT at Kids First, you’ll play one of the most essential roles on our team and in the lives of our clients– you’ll be providing hands-on one-on-one therapy in our children’s homes to help them overcome challenging behaviors. If you are looking to embark on a journey of discovery where you can learn the science behind the most common, difficult behaviors plaguing our children today, we’d love to hear from you! This position will be focused on:Building Strong Connections: If you have a natural talent for working with kids, you’re in the right place. Building relationships with the children we work with is a key part of this role. You’ll also work closely with your assigned BCBA and the children’s guardians to ensure you’re on the right track.Goal Tracking and Note-taking: In this role, being observant and detail oriented is essential. You will work with your assigned client to address their behaviors, while also keeping track of and documenting those behaviors. At the end of each session, you will write end-of-session notes in our data collection system.",44
145,QPS Research Associate Internship Program 2024 New York,Barclays,"$140,000 per year","Barclays Quantitative Portfolio Research Internship Description:We are looking for a PhD student in finance or economics to intern with our team in New York focusing on quantitative portfolio analysis across asset classes. The candidate will be helping in developing one or more of the quantitative signals, asset allocation models, cross-asset valuation, hedging and portfolio construction. The work will include empirical analysis using both market data and non-traditional data sources and innovative techniques.The Quantitative Portfolio Strategy groupThe group is a unique quantitative research team that has stayed together on Wall Street for over 20 years with minimal turnover. Over a number of years the group was rated #1 in its category by Institutional Investor research survey of investment management firms.The group advises the largest institutional investors around the globe on quantitative aspects of portfolio management across all asset classes on a one-on-one basis. Work on custom projects to help clients with asset allocation, portfolio construction, evaluation of investment constraints, beta replication, alpha generation and risk management utilizing empirical studies and developing models.",45
54,Cybersecurity Analyst,Jane Street,"$175,000-250,000 per year","About the PositionWe're looking to add a passionate Cybersecurity Analyst to our New York office to help protect Jane Street’s employees, data, and infrastructure from the wilds of the internet. Our Cybersecurity Analysts are responsible for developing and using monitoring tools to guard the firm, as well as handling incident response and remediation when a threat is found.Our Cybersecurity team is a skilled group of programmers and security experts who are dedicated to keeping the firm safe. We consider ourselves to be tapped into developments in the broader cybersecurity space, and can tell the difference between the latest cool hack by security researchers and what actually matters in our day-to-day. In this role, you’ll carefully consider the context of our decisions as we think about the tradeoffs we’re making in our approach to resolving cybersecurity issues. We’ll expect you to apply a methodical approach to performing unstructured investigations to locate and repair the source of a security issue.You will also act as an ambassador of best practices to the rest of the firm. Team members understand and practice good personal cybersecurity hygiene, and are able to talk to others about it. A key component of doing well in this position is bringing everyone else along with you on the cybersecurity journey, and you should be excited to learn from your colleagues and pass that learning on to new analysts.",46
214,"2024 - Economics Consulting- Associate, Campus","Berkeley Research Group, LLC","$80,000-90,000 per year","The Associate position is a full-time entry level consulting staff position.  Associate positions are for candidates with expected graduation date between December 2023-July 2024. This position is located in the New York office. Candidate must be able to submit verification of his/her legal right to work in the United States, without company sponsorship now or in the future. Overview Berkeley Research Group (BRG) is a global consulting firm that helps leading organizations advance in three key areas: disputes and investigations, corporate finance, and performance improvement and advisory. We are an integrated group of experts, industry leaders, academics, data scientists, and economists, working beyond borders and disciplines. We harness our collective expertise to deliver the inspired insights and practical strategies our clients need to stay ahead of what’s next.  Responsibilities The work of an Associate can be either qualitative or quantitative in nature, and projects range from industry and subject matter research to data collection to the preparation of statistical, financial, and other forms of analysis.  Associates should be able to assemble compelling evidence from data and research that supports our expert opinions. ",47
192,Administrative Accountability Supervisor of Family Foster Care,Saint Dominic's Family Services,"$70,000 per year","The Family Foster Care Administrative Accountability Supervisor provides oversight and feedback related to performance and all areas of compliance including billing activities, monitoring of program census and on-going statistical analyst. The Administrative Accountability Supervisor interacts and coordinates closely with program and agency administrators, as well as assumes specific functions to reach program goals, such as training, monitoring records, and preparing staff for PAMS reviews. The Administrative Supervisor monitors the units' compliance with program goals and ACS/OCFS regulations and fidelity to the Child Success NYC model. The Administrative Supervisor is also a crucial part of the program management team and assists the Vice President and Assistant Vice President in providing overall direction to the program as it relates to compliance.Duties & Responsibilities:Assumes on-site administrative responsibility for all aspects of the FFC permanency compliance process.Oversees, monitors and tracks workflow; communicates timely workflow strengths, concerns etc.Supervises Accountability staffSupports increased effectiveness and efficiencies of the program and continuously creates improvements through data collection, monitoring, measuring and reporting to the FFC Administration",48
193,Registered Behavioral Technician,All About ABA,$18.00-21.00 per hour,"All About ABA, LLC is a leading provider of Applied Behavior Analysis (ABA) services for individuals and families in need. We are currently seeking a passionate and dedicated Registered Behavior Technician to join our team. As a Registered Behavior Technician, you will play a vital role in improving the lives of individuals with developmental disabilities by implementing ABA therapy plans and strategies.ResponsibilitiesImplement ABA therapy plans under the supervision of a Board Certified Behavior Analyst (BCBA)Conduct regular assessments to track progress and make necessary adjustments to treatment plansProvide one-on-one ABA therapy to individuals with developmental disabilitiesCollect and record data on individual's progress and behaviorsCollaborate with the BCBA and other team members to develop and implement behavior intervention plansAssist in the training of parents and caregivers on ABA techniques and strategiesMaintain a safe and supportive environment for individuals receiving ABA therapy",49
191,Behavior Technician- Center Based,Applied ABC,$20.00-25.00 per hour,"About our organization: Applied Behavioral Counseling provides home based ABA (applied behavioral analysis) therapy to children with autism.DESCRIPTION of the position: The Registered Behavior Technician (RBT) works directly with the child with autism at their home or clinic, under the supervision of a Board Certified Behavior Analyst (BCBA). LOCATION: 2157 Tomlinson Avenue, Bronx NY Schedule: Full time/Part time: Mon-Fri 8am-6pmRESPONSIBILITIES of the Job:Implement 1:1 behavioral intervention programs to children with autism in their homes.Participate in a training program that provides instruction on ABA, discrete trial teaching techniques, management of maladaptive behaviors, child development and data collection techniques applicable to the client population.Receive supervision from a BCBA, for each client they work with.Observe and record child's behaviors through data input into an electronic device and log hours and data accurately.Communicate with supervisory staff",50
194,Special Education Teacher/ Social Worker,Kids First Early Intervention,,"Kids First Early Intervention is seeking per-diem Special Education Teachers/Social Workers to provide direct services to children birth to 3-years-old, through NYC Early Intervention Program.Location:The 5 boroughs, Westchester County, Suffolk, and Nassau CountyQualifications and SkillsCandidates must be certified in any of the following areas:-Special Education Teachers, Birth through 2nd grade- Initial or permanent-Social Worker (LMSW) or (LCSW) in the state of New York-Teacher of the Speech and Hearing Handicapped (TSHH)- Provisional or Permanent-Teacher for Students with Speech and Language Disabilities (TSSLD)- Initial or Professional-Board Certified Behavior Analysts (BCBA)Responsibilities and Duties:-Provide 1:1 instruction consistent with best practice in ABA therapy",51
215,Entry Level Engineer/Scientist/Planner,"AKRF, Inc.","$60,000-70,000 per year","Founded in 1981, AKRF is an award-winning consulting firm with 300 professionals bringing the value of strategic thinking to our land development, transportation, energy, and water clients. We serve our clients through a commitment to technical excellence across our portfolio of professional services, while always acting with integrity and fostering a culture of innovation, collaboration, and environmental stewardship. Offices are located throughout New York, New Jersey, Pennsylvania, Maryland, Virginia, and Connecticut, and the company completes projects around the country. Professionals join and remain at AKRF for our values that balances signature projects with social impact initiatives, charitable giving, and flexibility that’s important to our people. Most importantly, you can be yourself at AKRF. Our firm fosters a diverse, equitable, and inclusive environment where employees are respected and valued in honor of their identities and bring their whole self to work. We strive to deliver on this promise every day.  AKRF is seeking Entry Level Engineer/Scientist/Planner for our NYC, White Plains, Philadelphia, Mt Laurel, Maryland and Connecticut across our many disciplines. Candidates with coursework and interest in one or more of the following areas will be considered:Roadway/transportation design",52
197,Middle School Behavior Specialist,Brilla Public Charter Schools,"$79,000-95,000 per year","About Brilla Charter SchoolsBrilla Public Charter Schools is a network of K-8th grade schools that currently serves nearly 1,800 students from Mott Haven, University Heights, and other neighborhoods in the Bronx. The network is growing from its current four elementary and two middle schools to five elementary and five middle schools educating some 4,000 students in the Bronx and Paterson, NJ. The Charter Management Organization (CMO) for Brilla Schools Network is Seton Education Partners, an organization inspired by the Catholic educational tradition, that also manages the Seton Teaching Fellows missionary program and El Camino, an after-school Catholic faith formation program. At the heart of the Seton educational mission is our dedication to help students become young men and women of good character and spirit who are prepared for excellence in high school, college, and beyond. Brilla combines a Classical approach to education – an emphasis on an ennobling and content-rich curriculum, inductive inquiry-driven instruction, and virtue formation that fosters an encounter with Truth, Beauty, and Goodness – with co-teaching practices and individualized online instructional support. We approach the formation of our students holistically and maintain high academic expectations. Ours is a joyful community that honors the dignity of each student, our staff members, and the families we serve.",53
213,Associate Commercial Data Science Intern,Alexander Group,$30.00 per hour,"Alexander Group: Decades of experience growing revenue for global companiesAlexander Group provides management consulting services to the world’s leading organizations. When clients need to grow revenue, they look to Alexander Group for data-driven insights, actionable recommendations, and most importantly, results.Founded in 1985, we’ve served more than 3,000 companies around the world, across all industries. This experience gives us not only a highly sophisticated set of best practices to grow revenue — we also have a rich repository of industry data that informs all of our recommendations.Our dedication to revenue growth and sales strategy has led to:More than 70% of our clients being Fortune 500 corporationsProject work in more than 25 countriesExtensive industry experience in B2B marketsThe Associate Commercial Data Scientist Intern will work with multiple teams during their internship, learning from both their direct peers in Alexander Group’s Commercial Analytics function and from more business-oriented peers in Alexander Group’s general practice. This role will be client-facing – the Associate Commercial Data Scientist Intern will work with project teams to present and interpret statistical analyses in business contexts. The Associate Commercial Data Scientist Intern will be expected to interpret & tune machine learning algorithms, work in big data environments, apply statistical methods to develop robust solutions to client problems, have strong communication skills to communicate project findings to both internal and external stakeholders, and participate in client meetings.",54
195,"Social Worker, Alternative to Incarceration",NYS Unified Court System,"$60,000-70,000 per year","THE ORGANIZATIONThe Center for Justice Innovation (formerly the Center for Court Innovation) is a non-profit organization that works with communities and justice systems to advance equity, increase safety, and help individuals and communities thrive. The Center's goal is to identify and resolve as early as possible the challenges that bring people into the criminal and civil legal systems. It does this in a number of ways—by developing and running programs that reduce the need for incarceration and enhance economic opportunity, conducting original research to identify what works, and sharing what we learn from our programming and research with those seeking to transform the justice system around the world. The Center is an 800-employee, $100 million nonprofit that accomplishes its vision through three pillars of work: creating and scaling operating programs to test new ideas and solve problems, performing original research to determine what works (and what doesn’t), and providing expert assistance and policy guidance to justice reformers around the world. ",55
196,Middle School Learning Specialist,Brilla Public Charter Schools,"$69,000-98,500 per year","About UsBrilla Public Charter Schools is a network of K-8th grade schools that currently serves 1,800 students from Mott Haven, University Heights, and other neighborhoods in the Bronx. The network is growing from its current four elementary and two middle schools to five elementary and five middle schools educating some 4,000 students in the Bronx and Paterson, NJ. The Charter Management Organization (CMO) for Brilla Schools Network is Seton Education Partners, an organization inspired by the Catholic educational tradition, that also manages the Seton Teaching Fellows missionary program and El Camino, an optional after-school Catholic faith formation program. At the heart of the Seton educational mission is our dedication to help students become young men and women of good character and spirit who are prepared for excellence in high school, college, and beyond. Brilla combines a Classical approach to education – an emphasis on a content-rich curriculum, inquiry-driven instruction, and virtue formation that fosters an appreciation of Truth, Beauty, and Goodness – with individualized instructional support. We approach the formation of our students holistically and maintain high academic expectations. Ours is a joyful community that honors the dignity of each student, our staff members, and the families we serve. ",56
198,"Behavior Technician - Brooklyn, NY",Applied ABC,$20.00-30.00 per hour,"About our organization: Applied ABC provides home-based ABA (applied behavioral analysis) therapy to children with autism.DESCRIPTION of the position: The ABA therapist works directly with the child with autism at their home, under the supervision of a Board Certified Behavior Analyst (BCBA).LOCATION: Brooklyn, NYSchedule: Weekday Afternoon & Weekend Hours AvailableRESPONSIBILITIES of the Job:Implement 1:1 behavioral intervention programs for children with autism in their homes.Participate in a training program that provides instruction on ABA, discrete trial teaching techniques, management of maladaptive behaviors, child development, and data collection techniques applicable to the client population.Receive supervision from a BCBA, for each client they work with.Observe and record a child's behaviors through data input into an electronic device and log hours and data accurately.Communicate with supervisory staff",57
211,Business Operations Intern,OceanX,$20.00 per hour,"ABOUT OCEANX:OceanX is a mission to support scientists to explore the ocean and to bring it back to the world through captivating media. Uniting leading media, science, and philanthropy partners, OceanX utilizes next-gen technology, fearless science, compelling storytelling,and immersive experiences to educate, inspire, and connect the world with the ocean and build a global community deeply engaged with understanding, enjoying, and protecting our oceans. OceanX is an initiative of Dalio Philanthropies, which furthers the diverse philanthropic interests of Dalio family members. For more information, visit www.oceanx.org and follow OceanX on Facebook, Instagram, Twitter, TikTok, and LinkedIn.Position Summary:OceanX Business Operations, the strategic and operational efficiency pillar of OceanX, seeks an intern to help shape and execute the operational objectives of OceanX for the summer 2024. This internship may be remote for a portion or all of the internship termat employer's discretion. This program will run from June through August. This is a full-time opportunity involving 40 hours per week. As an intern at OceanX, you will contribute to our mission by helping your pillar complete key projects and tasks. You will leadindependent projects with the support of your team, in addition to shadowing and contributing to higher level initiatives that have a significant impact, while growing and gaining professional exposure. OceanX is an entrepreneurial environment which values team players who can manage priorities and workstreams simultaneously. To thrive and succeed within our unique culture and work environment, you must demonstrate humility, innate curiosity, and openness to new ideas/approaches. You also must be hard working, composed and goal oriented. All employees are expected to be honest, excited about providing and receiving objective feedback, constantly striving for self-improvement, and committed to the pursuit of excellence.",58
207,Data Science Intern,Katten Muchin Rosenman LLP,$20.00-30.00 per hour,"About KattenKatten is a full-service law firm with nearly 700 attorneys in locations across the United States and in London and Shanghai. Clients seeking sophisticated, high-value legal services turn to Katten for counsel locally, nationally and internationally. The firm’s core areas of practice include corporate, financial markets and funds, insolvency and restructuring, intellectual property, litigation, real estate, structured finance and securitization, transactional tax planning, private credit and private wealth. Katten represents public and private companies in numerous industries, as well as a number of government and nonprofit organizations and individuals. Summary for the Data Science InternKatten has an opportunity for a Data Science Intern to work, learn, and gain experience under the tutelage of its Senior Innovation and Data Science Manager and Chief Innovation Officer. You can put your skills into practice to solve actual business problems in a new and growing field of analytics. You will collect, combine, and clean data and also perform visualization and other analysis. There is a possibility of Generative AI projects involving used of prompt templates, LangChain, and otherwise matching technology to workflows. Much of this will be for actual projects where the Innovation department is tackling a problem for the first time. The work will allow you to interact with a wide variety of people, including partners, software vendors and senior management at Katten.",59
205,Research Scientist I,The New York Academy of Medicine,"$100,000-115,000 per year","Job Title:  Research Scientist I  Department:  Center for Community Partnerships and Policy Solutions  About NYAM:The New York Academy of Medicine is a leading voice for innovation in public health. Throughout our 176-year history, we have championed bold changes to the systems that perpetuate health inequities and keep all communities from achieving good health. Today, this work includes innovative research and evaluation, programs, and policy initiatives that distinctively value community input for maximum impact. Combined with our trusted public programming, historic library, and with the support of our esteemed Fellows and Members, NYAM’s legacy as a public health leader moves boldly forward. Department Summary: The Center for Community Partnerships and Policy Solutions works with community residents and leaders and with decision makers to identify innovative, evidence-informed policy solutions. Through these relationships, we work to align and shape the actions of communities, government, and industry to transform the places where we live, work, play, and learn into environments that promote health and advance equity.  For more information about CPPS visit:",60
190,Elementary School Learning Specialist,Brilla Public Charter Schools,"$69,000-98,500 per year","About UsBrilla Public Charter Schools is a network of K-8th grade schools that currently serves 1,800 students from Mott Haven, University Heights, and other neighborhoods in the Bronx. The network is growing from its current four elementary and two middle schools to five elementary and five middle schools educating some 4,000 students in the Bronx and Paterson, NJ. The Charter Management Organization (CMO) for Brilla Schools Network is Seton Education Partners, an organization inspired by the Catholic educational tradition, that also manages the Seton Teaching Fellows missionary program and El Camino, an optional after-school Catholic faith formation program. At the heart of the Seton educational mission is our dedication to help students become young men and women of good character and spirit who are prepared for excellence in high school, college, and beyond. Brilla combines a Classical approach to education – an emphasis on a content-rich curriculum, inquiry-driven instruction, and virtue formation that fosters an appreciation of Truth, Beauty, and Goodness – with individualized instructional support. We approach the formation of our students holistically and maintain high academic expectations. Ours is a joyful community that honors the dignity of each student, our staff members, and the families we serve. ",61
0,Prospect Research and Development Systems Manager,The American Jewish Joint Distribution Committee (JDC),"$70,000-85,000 per year","JDC has an exciting, brand-new role for a strategic analyst interested in making a real impact on the development operations for a global Jewish humanitarian nonprofit. JDC strives to build upon successful implementation of various advancement operations endeavors through the Prospect Research & Development Systems Manager position. This role will be a critical partner to fundraisers by continuing to build the major donor base; helping to manage fundraiser portfolios and the allocation of resources; creating workflows to illuminate insights into fundraising progress; and other various systems-related projects. As part of an organization focused primarily on major gifts, this role will enable the Resource Development team’s success through development of prospecting processes, effective use of technology, and business analysis to expand our donor base. JDC's Global Resource Development department is driven by JDC's historic mission, as we cultivate and grow relationships with philanthropists worldwide to secure resources for the leading global Jewish humanitarian organization. Our department comprises a highly motivated and dynamic team that is committed to excellence in all we do. Our team encourages creative thinking, leadership, and the exploration of new, effective, and collaborative ways for achieving top fundraising results. We invest in our team by equipping them with tools and coaching for success, and we thrive on learning and growing together.",62
177,2025 Blackstone Real Estate Portfolio Management Summer Analyst,Blackstone,"$110,000 per year","2025 Blackstone Real Estate Portfolio Management Summer Analyst Job Title:2025 Summer Analyst Business Unit:Blackstone Real Estate Business Unit Overview:Blackstone is a global leader in real estate investing. Blackstone’s real estate business was founded in 1991 and has US $332 billion of investor capital under management. Blackstone is the largest owner of commercial real estate globally, owning and operating assets across every major geography and sector, including logistics, residential, office, hospitality and retail. Our opportunistic funds seek to acquire undermanaged, well-located assets across the world. Blackstone’s Core+ business invests in substantially stabilized real estate assets globally, through both institutional strategies and strategies tailored for income-focused individual investors including Blackstone Real Estate Income Trust, Inc. (BREIT), a U.S. non-listed REIT, and Blackstone’s European yield-oriented strategy. Blackstone Real Estate also operates one of the leading global real estate debt businesses, providing comprehensive financing solutions across the capital structure and risk spectrum, including management of Blackstone Mortgage Trust (NYSE: BXMT). ",63
189,"Facilities Management Summer 2024 Internship - Flushing, NY",JLL,$18.00-25.00 per hour,"About JLL Work Dynamics: Work Dynamics at JLL offers comprehensive workplace solutions designed to optimize the productivity, efficiency, and employee experience within organizations. Combining data-driven insights with innovative technologies, Work Dynamics assists businesses in creating tailored workplace strategies that align with their unique goals and objectives. By leveraging JLL's expertise in workplace strategy, space planning, change management, and workplace technology, the Work Dynamics team brings together the physical, digital, and cultural aspects of the workplace to drive employee satisfaction, collaboration, and overall business success. About Facilities Management: At JLL, facilities management is a core service offered to clients. JLL's facilities management team takes a holistic approach to managing buildings and facilities, focusing on delivering exceptional service, driving efficiency, and improving the overall occupant experience. JLL leverages its industry-leading technology and expertise to provide comprehensive solutions, including preventive and reactive maintenance, space planning and optimization, energy management, vendor management, sustainability initiatives, and workplace safety. By combining their knowledge of industry best practices with client-specific goals and requirements, JLL's facilities management team strives to create value, reduce costs, and enhance the operational performance of the facilities they manage.",64
188,Municipal Finance Fellowship Program,New York State Homes and Community Renewal,"$50,000-60,000 per year","MUNICIPAL FINANCE FELLOWSHIP PROGRAMNew York State Homes and Community Renewal (HCR) established the Municipal Finance Fellowship program in 1990. The Fellowship offers a year-long, full-time opportunity to gain professional experience in the public finance investment banking industry. Beginning in July of each year, HCR offers up to 4 Fellowships annually to students with interest in pursuing careers in finance and the public sector. The program strives to create a more inclusive and diverse workforce in the financial services industry. Program DescriptionFellows will participate in a one-year public finance rotational program, where they will spend six months with HCR and six months with a partnering investment banking firm. Current investment banking partners include Barclays, Morgan Stanley, Samuel A. Ramirez & Co., and Wells Fargo.At HCR, Fellows will be deeply involved with single-family and multi-family bond financings, real estate finance, and mortgage insurance. At the investment banking firms, Fellows will be immersed in the public-finance investment banking arena. Fellows will receive a compensation package with benefits.",65
157,Intern – Technical Specialist (Summer 2024),NJ TRANSIT,$18.00-28.00 per hour,"NJ TRANSIT SeekingIntern – Technical Specialist (Summer 2024) NJ TRANSIT is the third-largest transportation agency in North America and fully committed to delivering safe and reliable services. This tactic has driven our success in developing real-world solutions that affect many individuals lives every day. We are looking for talented students to hire for our Internship Program who can help initiate our solution-based business model to the next level. As an intern at NJ TRANSIT, you will oversee projects from concepts to completion. Our interns step away from the regular sitting at the desk to having the opportunity at hands-on experience with several business units within NJ TRANSIT. Our ideal candidate is passionate about learning and using creative solutions to make an impact on the lives of others.Objective of this role:Technical specialist/Analyst working on via projects relating to digital signage for all mode of transit and analyzing data to improve data integrity of NJ Transit customers. Passenger Communications Technology (Passcomm) is a group within IT that installs, maintain, upgrade and innovate communication mediums between NJ Transit operations and both internal/external customers. This is done via mobile/web technologies, digital signage and PA systems.",66
159,"2025 Blackstone Real Estate Environmental, Social, and Governance (ESG) Summer Analyst",Blackstone,"$110,000 per year","2025 Blackstone Real Estate ESG (Environmental, Social and Governance) Summer Analyst Job Title:2025 Summer Analyst Business Unit:Real Estate Business Description:Blackstone is a global leader in real estate investing. Blackstone’s real estate business was founded in 1991 and has US $332 billion of investor capital under management. Blackstone is the largest owner of commercial real estate globally, owning and operating assets across every major geography and sector, including logistics, residential, office, hospitality and retail. Our opportunistic funds seek to acquire undermanaged, well-located assets across the world. Blackstone’s Core+ business invests in substantially stabilized real estate assets globally, through both institutional strategies and strategies tailored for income-focused individual investors including Blackstone Real Estate Income Trust, Inc. (BREIT), a U.S. non-listed REIT, and Blackstone’s European yield-oriented strategy. Blackstone Real Estate also operates one of the leading global real estate debt businesses, providing comprehensive financing solutions across the capital structure and risk spectrum, including management of Blackstone Mortgage Trust (NYSE: BXMT). ",67
160,"Licensed Behavior Analyst, LBA, BCBA",Stand Out Corp,$76.00-135 per hour,"Responsibilities:- Conduct assessments to identify behavioral needs and develop individualized treatment plans- Implement evidence-based behavioral therapy techniques to address challenging behaviors- Provide direct one-on-one therapy sessions to clients with special needs, focusing on skill acquisition and behavior management- Collaborate with parents, caregivers, and other professionals to ensure consistency and progress across settings- Collect and analyze data to monitor client progress and make data-driven decisions for treatment adjustments- Maintain accurate and thorough documentation of client sessions, progress reports, and treatment plansExperience:- Board Certified Behavior Analyst (BCBA) certification required- NYS Licensed Behavior Analyst (LBA) certification required- Experience working with children with autism or other developmental disabilities- Knowledge of special education laws and regulations- Proficient in conducting functional behavior assessments (FBAs) and developing behavior intervention plans (BIPs)- Strong data collection and analysis skills- Excellent communication and interpersonal skills",68
161,2025 Blackstone Real Estate Acquisitions Summer Analyst,Blackstone,"$110,000 per year","2025 Blackstone Real Estate Acquisitions Summer Analyst Job Title:2025 Summer Analyst Business Unit:Real Estate Business Unit Overview:Blackstone is a global leader in real estate investing. Blackstone’s real estate business was founded in 1991 and has US $332 billion of investor capital under management. Blackstone is the largest owner of commercial real estate globally, owning and operating assets across every major geography and sector, including logistics, residential, office, hospitality, retail, and data centers. Our opportunistic funds seek to acquire undermanaged, well-located assets across the world. Blackstone’s Core+ business invests in substantially stabilized real estate assets globally, through both institutional strategies and strategies tailored for income-focused individual investors including Blackstone Real Estate Income Trust, Inc. (BREIT), a U.S. non-listed REIT, and Blackstone’s European yield-oriented strategy. Blackstone Real Estate also operates one of the leading global real estate debt businesses, providing comprehensive financing solutions across the capital structure and risk spectrum, including management of Blackstone Mortgage Trust (NYSE: BXMT). ",69
163,Municipal Surveillance Special Tax & Special Districts Intern,INROADS,$20.00-25.00 per hour,"INROADS is partnering with Assured Guaranty for Summer Internships. Apply today!Eligible candidates must have a 3.0 minimum cumulative GPA, be a U.S. Citizen or Permanent Resident and CANNOT graduate before 12.2024. Online application https://inroads.org/apply/ must be received within 24 hours of receiving resume for internship of interest.INROADS (www.inroads.org) is a nationally recognized nonprofit organization that gives high-potential future executives from culturally, ethnically, and economically diverse backgrounds a competitive advantage in their careers. We provide unparalleled networking opportunities with career-minded peers; year-round professional coaching and guidance from managers; and professional development. We also provide management training that includes career related, paid internships with some of America's top companies. We are seeking undergraduate candidates for paid summer internships with our 200+ corporate partners.Assured Guaranty is the leading provider of financial guaranty insurance. We guarantee timely payment of scheduled principal and interest when due on municipal, public infrastructure and structured financings.  We also participate in the asset management business through our ownership interest in Sound Point Capital Management, LP.",70
164,2025 Blackstone BAAM BPS Summer Analyst,Blackstone,"$100,000-120,000 per year","2025 BAAM, BPS Summer Analyst Job TitleSummer Analyst Business UnitBlackstone Alternative Asset Management Business Unit OverviewBlackstone Alternative Asset Management (BAAM®) manages approximately $80 billion across a diversified set of businesses, including a customized portfolio solutions business, a special situations platform, a business that purchases GP stakes in alternative asset managers, an open-ended mutual fund platform, and an emerging manager seeding business. BAAM invests across a variety of asset classes and strategies to create solutions for its investors. Through its sharp focus on clients’ goals, a rigorous due-diligence process and access to Blackstone’s global insights, BAAM strives to generate attractive risk-adjusted returns across market cycles while mitigating downside risk during stressed market.",71
165,Investment Sales Associate,IPRG,"$10,000-75,000 per year","Investment Property Realty Group (IPRG) is a NYC based Commercial Real Estate Firm focused on the sale of Investment Properties between $1mm and $50mm.We are actively seeking ambitious, motivated, and team-oriented sales professionals for our Investment Sales Associate positions.The Investment Sales Associate will be a strong, supporting member of the firm’s growing team assisting and working alongside senior brokers while building their own book of business. This is an unparalleled opportunity to learn the Commercial Real Estate business from ground up.What to Expect from IPRG:Training & Education Unparalleled in-house training structured to enhance salesperson skill set. There is an initial on-boarding process, structured coaching sessions, and weekly training sessions.Technology and Database Advantage Our proprietary, cutting-edge database has every NYC owner, transaction, and property related data point. All of this information is shared amongst the Team which allows for greater information sharing and efficient execution of assignments.",72
166,"Proposal Writer, Early Career Program","Aksia, LLC","$60,000-80,000 per year","OverviewAksia is seeking an early career writer to join our proposal writing team, which sits within the broader Portfolio Advisory team at Aksia. This position will focus on projects related to marketing to prospective clients, predominately through preparation of responses to Requests for Proposals (RFPs), which are a core component of Aksia’s business development strategy and client acquisition success. The analyst’s primary role will be to draft questionnaire responses, manage concurrent workstreams for various proposal requirements, and ultimately own the project from receipt to submission. The RFP team also maintains processes for tracking firm-wide information on clients, assets, and research coverage, as well as assisting with global ad-hoc requests.This position is based in Aksia’s New York office with an anticipated start in July 2024. Dates can be flexible for candidates graduating a semester or quarter early.ResponsibilitiesDraft and prepare responses to RFPs, including completing questionnaires, data requests, and any other RFP requirements (e.g., required forms, accompanying exhibits). Focus on producing compelling and compliant proposals with high-quality writing and accurate data within strict and sometimes short timeframes.",73
167,Securitized Products Summer Analyst Program - 2025,Bank of America,$23.00-40.87 per hour,"Job Description & Program OverviewOur Global Markets business offers sales and trading services, including research, to institutional clients across fixed-income, credit, currency, and commodity and equity businesses. Global Markets product coverage includes securities and derivative products in both the primary and secondary markets.The Global Markets Securitized Products (GMSP) Banking group is responsible for originating, structuring and securitizing bonds backed by various types of collateral to provide liquidity and funding to a wide range of financial institutions, public companies and financial sponsors; providing secured asset-based financing; advising financial institutions on asset and platform acquisitions and dispositions; and opportunistic lending situations. As a summer analyst, you will have a unique opportunity to gain exposure to the following two product groups:ABS Banking & Finance – Covers clients including corporations, finance companies, and institutional investors for asset-backed securities (ABS) origination and lending. ABS are structured with collateral spanning a wide range of consumer (auto loans and leases, credit cards, student loans, personal loans, solar) and commercial (equipment, vehicle fleets, aircraft, containers, intellectual property) financial products",74
168,"2024 - Early Career - General Insurance, Claims - Summer Intern - United States, Multiple Locations",AIG,$20.00-35.00 per hour,"Who we areAmerican International Group, Inc. (AIG) is a leading global insurance organization. Building on 100 years of experience, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement solutions, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security. Get to know the businessGeneral Insurance is a leading provider of insurance products and services for commercialand personal insurance customers. It includes one of the world’s most far-reaching property casualty networks. General Insurance offers a broad range of products to customers througha diversified, multichannel distribution network. Our Claims professionals support AIG policyholders through some of the most trying times. When our clients face losses large and small, we step up to help them ease the financial burdens of catastrophic events like fires and hurricanes; we help them get their businesses back up and running again or recoup the value of a lost family heirloom or a prized possession. Our Claims team is an industry leader, drawing daily on its unparalleled levels of expertise to offer our clients the highest levels of stewardship to drive total cost of claim improvement and consistent outcomes. AIG manages claims using a wealth of technical and market knowledge about risks, business practices, and the ever-evolving legal and regulatory environment.",75
